"NUMERO","ZONA_NUMERO","NOME","SECOES_PREVISTAS","LATITUDE","LONGITUDE"
1112,20,"SESI - CENTRO EDUCACIONAL DR GILBERTO MENDES DE AZEVEDO",16,-8.7691229,-63.8711164
1180,20,"GENERAL OSORIO - ESCOLA MUNICIPAL",10,-8.0240454,-62.8733005
1120,20,"ESCOLA PADRÃO - ENGENHEIRO FRANCISCO ERSE - ESCOLA MUNICIPAL",15,-8.7578843,-63.8553637
1341,20,"HÉLIO NEVES BOTELHO - ESCOLA ESTADUAL",11,-8.7974535,-63.884943
1511,20,"CHAPEUZINHO VERMELHO",6,-8.7462455,-63.8363379
1147,20,"JUSCELINO KUBTSCHECK - ESCOLA ESTADUAL",20,-8.7627611,-63.8642243
1406,20,"RIO GUAPORE - ESCOLA MUNICIPAL",8,-8.8014822,-63.869637
1104,20,"PROFESSOR ORLANDO FREIRE - ESCOLA ESTADUAL",23,-8.768884,-63.8698423
1210,20,"MARIA ANGELICA QUEIROZ  - ESCOLA MUNICIPAL - DIST NOVA ALIANÇA",3,-8.6097235,-63.5423095
1457,20,"JORGE VICENTE SALAZAR DOS SANTOS - ESCOLA ESTADUAL",13,-8.7930118,-63.8748689
1368,20,"JOAQUIM VICENTE RONDON - ESCOLA MUNICIPAL",23,-8.7912291,-63.8810349
1465,20,"JESUS BURLAMAQUI HOSANNAH - ESCOLA ESTADUAL",20,-8.7764486,-63.8811554
1040,20,"ESCOLA MILITAR DOM PEDRO II",14,-8.7684305,-63.8782935
1279,20,"FRANCISCO BRAGA - ESCOLA MUNICIPAL",2,-8.3178564,-63.4976199
1384,20,"ESCOLA HEITOR VILLA LOBOS",10,-8.7953867,-63.8661699
1430,20,"MANOEL GRANGEIRO - ESCOLA MUNICIPAL",3,-8.8496401,-63.8321891
1392,20,"CANTO DO UIRAPURU - ESCOLA MUNICIPAL",6,-8.8037675,-63.8611508



